Sample	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18
Label	BMDC	BMDC	BMDC	BMDC	BMDC	BMDC	BMDC	BMDC	BMDC	BMDC	BMDC	BMDC	BMDC	BMDC	BMDC	BMDC	BMDC	BMDC
foxq1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dq709433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gm5506	1.946132992	9.84245756	6.428653802	0.892068321	0.504534656	1.364552541	0.641128115	1.82695207	8.847907008	0.298960917	0.696273473	0.39405381	3.366607698	1.944955899	0.197170574	13.01201427	106.1727972	1.527428423
neurl3	0.923988266	2.783776688	4.749879273	0.461487731	23.94375325	2.521488739	1.380772179	0.15036765	0.329035957	0.659066249	0.609906954	0.340202287	0.695343047	79.34379969	0.110797245	0.839764696	0.567701864	0.024253658
neurl4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lamc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.637056331	0.0	0.0
lamc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dq560132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lamc1	0.0	0.018777023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.60128973	0.0	0.522257762	0.0	0.0	0.0	0.0	0.0	0.0
zp4-ps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dq566918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bc125002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prrxl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dq698460	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dq698463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ap1m2	0.0	0.0	0.0	0.0	99.62095414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ak039421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
neurl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rlim	8.229750662	0.0	0.027270037	39.19626249	50.35234747	16.2827535	0.0	0.237325794	2.673425129	56.95119948	40.5928047	4.839527482	0.061820979	8.48640514	5.733746631	0.080975055	0.019470825	0.060948908
dq700577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rras2	0.082948303	0.0	0.045986152	0.0	0.046203432	0.172959271	0.0	0.05728024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.56537249	0.0	0.0
ak007216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ak142077	0.0	0.0	0.029645643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.061063656	0.083514244	62.96339241	0.0	0.0	0.0	0.0	0.0
magel2	0.0	0.0	0.0	1.617002935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
egln3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
egln2	15.10571214	0.0	0.0	0.0	0.0	0.0	0.0	25.09601594	0.0	0.0	23.36422238	0.0	0.0	0.0	0.0	27.86049897	0.0	0.0
egln1	36.04567553	0.0	0.029150327	0.0	0.0	16.84376427	0.0	0.399014054	0.539641262	0.036652489	0.960682154	0.0	0.0	0.0	0.761643691	0.0	0.0	0.0
dq696944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ak021007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dq696941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ak021003	0.174057016	0.0	0.0	0.0	0.0	0.0	0.125813991	0.0	0.0	0.0	0.0	0.0	0.0	0.130933859	0.0	0.0	90.55223091	0.0
gcet2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
